Length (major axis),Width (minor axis),Thickness (depth),Area,Perimeter,Roundness,Solidity,Compactness,Aspect Ratio,Eccentricity,Extent,Convex hull(convex area),Type
320.8104553,168.2780762,,39255.5,834.8843374,0.485639054,0.982652665,1.413000287,1.906430491,0.851385498,0.783777578,39948.5,MAMRA
317.1517944,167.8541412,,39163,838.6416959,0.495737446,0.982255051,1.429114696,1.889448733,0.848462875,0.772141167,39870.5,MAMRA
397.007843,188.6886444,,55550,1025.837653,0.448741266,0.97498903,1.507520909,2.104036755,0.879836291,0.710457993,56975,MAMRA
401.6898193,190.6454926,,56813.5,1033.251867,0.448311639,0.976084734,1.495378006,2.106998775,0.880196887,0.719221956,58205.5,MAMRA
399.5779114,190.5465698,,57463.5,1033.737149,0.458246597,0.975139364,1.479852086,2.097009207,0.878974037,0.723849293,58928.5,MAMRA
399.2357788,191.330368,,56670.5,1038.423441,0.452697663,0.974766717,1.514195873,2.086630486,0.877683058,0.710343574,58137.5,MAMRA
412.9480896,199.8617706,,62283.5,1458.330076,0.46504203,0.910590798,2.717244957,2.066168474,0.875074834,0.703983136,68399,MAMRA
407.4352722,197.8062592,,60394.5,1541.241762,0.463223156,0.901000291,3.129927532,2.059769362,0.874241527,0.682038396,67030.5,MAMRA
390.7553101,187.4055634,,55549,1651.082382,0.463208571,0.90339001,3.905272806,2.085078495,0.877488186,0.66548064,61489.5,MAMRA
389.5588379,189.9082336,,55594,1527.827549,0.466435845,0.894743619,3.341264734,2.051300412,0.873125423,0.697873516,62134,MAMRA
380.4919128,179.0878448,,51003,1476.371706,0.448554254,0.848550893,3.400837188,2.124610485,0.882306922,0.632320853,60106,MAMRA
393.6227112,177.8289642,,51626.5,1347.98693,0.424250639,0.924882881,2.800843322,2.213490434,0.89213183,0.627448955,55819.5,MAMRA
378.1491089,175.4711761,,49740.5,1291.276253,0.442888193,0.905558185,2.667585314,2.155049719,0.885821361,0.642069731,54928,MAMRA
374.5185852,170.9510498,,47379.5,1297.359514,0.430084552,0.939147068,2.826964433,2.190794298,0.889746268,0.625480204,50449.5,MAMRA
329.507019,,94.54321289,22668,1188.808217,0.265823874,0.806489487,4.96135757,,,0.557227139,28107,MAMRA
331.7145691,,98.14264679,24511,1180.1808,0.283623398,0.837954258,4.521954584,,,0.671258387,29251,MAMRA
325.6017456,,102.6227951,24075.5,1189.109733,0.289142535,0.810936895,4.673676927,,,0.575693448,29688.5,MAMRA
336.6143494,,88.57997131,22932.5,1262.42344,0.257689231,0.835488925,5.530301812,,,0.626365672,27448,MAMRA
326.9599304,,102.4047318,25386.5,1081.595014,0.302359685,0.868820479,3.66704855,,,0.582192409,29219.5,MAMRA
327.3097229,,101.7320328,25619.5,1068.967597,0.304482934,0.902269806,3.549347883,,,0.663288026,28394.5,MAMRA
338.4678345,,101.7563248,25867,1099.009228,0.287489095,0.873796575,3.715752262,,,0.590368595,29603,MAMRA
325.0120239,,120.4358826,25934.5,1027.653889,0.312600121,0.807928349,3.240455013,,,0.526097452,32100,MAMRA
,172.1504059,79.75983429,10510.5,595.0609632,,0.867883242,2.680955968,,,0.608246528,12110.5,MAMRA
,168.2435913,83.54227448,10803,548.4751765,,0.905798013,2.215948755,,,0.709836389,11926.5,MAMRA
,163.4246368,84.02729797,10535,733.8132695,,0.86207602,4.067492096,,,0.665088384,12220.5,MAMRA
,167.5878143,77.64655304,9590,737.528998,,0.818399044,4.513669228,,,0.622767712,11718,MAMRA
,217.3023682,104.1037979,17459,894.4406861,,0.874589856,3.646480229,,,0.654385307,19962.5,MAMRA
,194.8552856,106.1168976,15273,962.7249571,,0.840630762,4.829144991,,,0.719813366,18168.5,MAMRA
,205.0234833,98.19961548,15767,970.9259671,,0.864750727,4.757877991,,,0.661506188,18233,MAMRA
,208.3566742,99.95220184,16096.5,707.0020872,,0.913795061,2.471155496,,,0.700792372,17615,MAMRA
,198.5538483,124.4473801,19179,561.3868632,,0.975732601,1.307641419,,,0.737653846,19656,MAMRA
,193.0083313,121.6277008,18161,537.2447287,,0.980694981,1.264720923,,,0.739153439,18518.5,MAMRA
,198.6209564,125.9653397,19398,587.528998,,0.974504534,1.416093058,,,0.731117142,19905.5,MAMRA
,195.9360046,125.9674301,19063.5,551.9726492,,0.977439947,1.27181111,,,0.731270858,19503.5,MAMRA
,177.9160156,106.1198196,13863.5,517.8893892,,0.929562827,1.539541057,,,0.662279654,14914,MAMRA
,179.5160065,105.617691,14113,511.3036028,,0.929465227,1.474105275,,,0.689279609,15184,MAMRA
,179.8978577,107.6310043,14367.5,544.7178164,,0.929363822,1.64343333,,,0.687900986,15459.5,MAMRA
,179.5422363,103.0133438,13617,499.1614673,,0.926704777,1.456098666,,,0.694461444,14694,MAMRA
280.3872986,,101.4992447,21644.5,702.0315244,0.350542762,0.97145486,1.811990043,,,0.795022957,22280.5,MAMRA
286.4103088,,103.4169312,22275,690.6173112,0.345740726,0.973153629,1.703912716,,,0.793325735,22889.5,MAMRA
294.140564,,104.89814,23047,698.4751757,0.33916785,0.973988378,1.684525871,,,0.793465537,23662.5,MAMRA
285.8230591,,102.6342239,22004,684.8183218,0.342939278,0.972316122,1.696052306,,,0.794368231,22630.5,MAMRA
179.5860138,,68.96044159,9420.5,454.6345569,0.371911024,0.944269032,1.745987254,,,0.721103797,9976.5,MAMRA
182.8027802,,69.52802277,9762,463.5634886,0.371948943,0.937301968,1.751740528,,,0.711308656,10415,MAMRA
180.6846771,,72.88582611,9958,473.0782075,0.388364561,0.940498678,1.788479223,,,0.741363907,10588,MAMRA
181.4806213,,69.10229492,9584.5,483.9482651,0.370526322,0.938598639,1.944547467,,,0.696345539,10211.5,MAMRA
253.0894012,142.7684479,,27653.5,734.541191,0.549683003,0.974349488,1.552645609,1.772726432,0.825704545,0.668928399,28381.5,MAMRA
242.4202728,137.2588959,,25381,740.4406867,0.549896527,0.971038335,1.718944904,1.766153452,0.824266371,0.668801054,26138,MAMRA
244.595047,134.8792114,,25200.5,707.7127638,0.536319959,0.976006971,1.581594095,1.8134377,0.834215317,0.680285606,25820,MAMRA
243.7374268,137.2973785,,25669.5,682.3990555,0.550152492,0.976026616,1.443608933,1.775251861,0.826252209,0.687269076,26300,MAMRA
184.9120178,109.5426331,,15373,594.5584359,0.5724512,0.957103723,1.829871528,1.688037001,0.805640994,0.672837885,16062,MAMRA
185.706131,112.5821228,,15863,529.4457383,0.585656488,0.971640328,1.406202046,1.649517049,0.795283236,0.689395915,16326,MAMRA
187.3934631,111.2894363,,15948.5,527.3452327,0.57825725,0.976458703,1.387587382,1.68383873,0.804552818,0.687287223,16333,MAMRA
186.190506,113.0347824,,16009,524.4162999,0.587975539,0.98076334,1.367030787,1.647196571,0.794631487,0.692191283,16323,MAMRA
241.445816,146.1658173,,27464,1100.205185,0.599838782,0.903287342,3.507306502,1.651862389,0.79593864,0.637334076,30404.5,MAMRA
247.1915436,141.6611176,,26367,1105.092487,0.54941893,0.885140239,3.685756753,1.744949834,0.819497766,0.59122811,29788.5,MAMRA
241.2118378,146.1463928,,27326.5,1059.678273,0.597994093,0.909186186,3.270048436,1.650480953,0.795553003,0.646291566,30056,MAMRA
243.9071503,144.3564453,,27178.5,1054.364565,0.581683224,0.90917758,3.254964495,1.68961732,0.806048128,0.65177822,29893.5,MAMRA
271.418457,159.9879761,,33085,867.9554056,0.571824163,0.934063607,1.81198176,1.696492847,0.807803878,0.727766657,35420.5,MAMRA
272.6656799,169.46492,,34156,839.3279878,0.58494653,0.941935662,1.641294603,1.608980076,0.783404852,0.73226996,36261.5,MAMRA
271.4689941,162.9344482,,33107,858.6416965,0.571991375,0.946698693,1.772124607,1.666123997,0.799853394,0.754317612,34971,MAMRA
264.4398499,164.4355011,,32785,861.9554042,0.596941129,0.947242206,1.803368759,1.608167629,0.783155648,0.73319915,34611,MAMRA
294.2204895,,105.0593567,22444.5,1158.42344,0.330121817,0.830770085,4.75789523,,,0.53378282,27016.5,MAMRA
282.2064209,,94.92438507,20324,844.9848424,0.324926792,0.891305778,2.795624171,,,0.631670552,22802.5,MAMRA
251.1631927,,98.60534668,18883.5,902.6833267,0.38113657,0.883893466,3.433827583,,,0.615498696,21364,MAMRA
280.4700623,,96.68948364,20579.5,993.168608,0.333097916,0.865102886,3.814180881,,,0.574621656,23788.5,MAMRA
285.2720642,,118.1539841,25419,846.1564146,0.397694963,0.917554056,2.24147024,,,0.675354695,27703,MAMRA
266.6739502,126.2978363,,24585,924.8427069,0.440168686,0.889310906,2.768571065,2.111468874,0.880737928,0.690512302,27645,MAMRA
274.1786499,122.9639969,,25086,936.1564152,0.424887808,0.884384199,2.780068862,2.22974738,0.893792216,0.687287671,28365.5,MAMRA
280.6758423,126.8576736,,25228.5,947.3696183,0.407747662,0.859325238,2.830985287,2.212525535,0.892032031,0.678732849,29358.5,MAMRA
,160.1206207,102.3202362,11695.5,848.1980455,,0.761797753,4.895148571,,,0.512510955,15352.5,MAMRA
,161.7797546,100.5295334,12137.5,838.1980454,,0.812253229,4.606320801,,,0.586126135,14943,MAMRA
,163.6335144,96.62818909,11636,706.4995615,,0.800880997,3.413581033,,,0.581770911,14529,MAMRA
,156.4853363,111.118866,12217,806.9848419,,0.767182643,4.24185986,,,0.526299918,15924.5,MAMRA
,160.6760406,104.742485,13213,633.0437171,,0.914267921,2.413548924,,,0.664136718,14452,MAMRA
,163.884903,107.0036316,13233.5,604.8010768,,0.896214276,2.199583867,,,0.67294686,14766,MAMRA
,166.4860077,106.3560333,13458,568.0731539,,0.886123457,1.908174745,,,0.585971176,15187.5,MAMRA
,164.2202911,109.037056,13682,588.0731548,,0.906002715,2.011422292,,,0.642981343,15101.5,MAMRA
260.1318359,130.7658234,,26441,689.6711338,0.497509047,0.96061762,1.431516498,1.989295286,0.864466414,0.712311422,27525,MAMRA
261.9425354,135.5820313,,27501,716.4995613,0.510324655,0.957472365,1.485502912,1.931985625,0.855621393,0.717442346,28722.5,MAMRA
267.7369995,135.4476776,,28177,711.1269783,0.500481567,0.965197136,1.428202187,1.976682098,0.862593165,0.70217803,29193,MAMRA
259.2121277,132.8079376,,26803,690.8427075,0.507905471,0.964830814,1.416984451,1.951781891,0.858775343,0.705434926,27780,MAMRA
,236.187912,111.9618759,20469.5,613.9726496,,0.977834571,1.465483564,,,0.720249824,20933.5,MAMRA
,238.0141754,112.7362213,20640.5,620.3157953,,0.979499347,1.483527503,,,0.7296041,21072.5,MAMRA
,239.5050964,111.7571182,20661,618.9015816,,0.976833247,1.475305574,,,0.726988037,21151,MAMRA
,236.3150482,110.7115784,20211,609.2447283,,0.977132083,1.461456502,,,0.73564097,20684,MAMRA
402.1314697,,97.8754425,29218,919.4701234,0.230051188,0.912022225,2.302580888,,,0.674157822,32036.5,MAMRA
397.109436,,99.21882629,29373.5,906.3990557,0.237162163,0.923564275,2.225734342,,,0.679470275,31804.5,MAMRA
403.0806885,,99.87322998,29784,913.6711342,0.233404464,0.918380562,2.230421391,,,0.679302087,32431,MAMRA
404.2111511,,102.2392426,30640.5,925.0853478,0.238775293,0.928443731,2.222582511,,,0.690101351,33002,MAMRA
388.749939,,122.9455948,32712,918.2985517,0.275598309,0.87965042,2.051402295,,,0.662186235,37187.5,MAMRA
393.3935547,,124.2059402,33177,930.2985502,0.272956066,0.875394134,2.075858332,,,0.659530057,37899.5,MAMRA
400.7831726,,125.8170319,33532.5,939.3696173,0.265801296,0.874905419,2.094099058,,,0.645165945,38327,MAMRA
395.3709717,,126.8873215,34252.5,946.5411911,0.278992696,0.875821422,2.08150231,,,0.66205037,39109,MAMRA
423.7041931,249.3059998,,76989,1156.121925,0.546025938,0.987221984,1.38155676,1.699534682,0.808572655,0.770853567,77985.5,MAMRA
421.1376648,245.0241852,,74828,1138.465072,0.537187733,0.987782743,1.378368756,1.718759577,0.813321201,0.773104382,75753.5,MAMRA
419.02948,247.6816711,,75504,1132.808217,0.547508572,0.988136447,1.352486557,1.691806576,0.806609921,0.776726195,76410.5,MAMRA
422.0525818,245.0998077,,76308.5,1151.879284,0.545443678,0.987192507,1.383665636,1.721962109,0.814094179,0.777919933,77298.5,MAMRA
425.2628174,232.1969452,,73591,1123.293499,0.518107643,0.987460668,1.364432081,1.831474643,0.837779893,0.757342801,74525.5,MAMRA
421.1878052,233.3480682,,73766,1127.293498,0.529437594,0.985155754,1.370906722,1.80497661,0.832500828,0.755954089,74877.5,MAMRA
423.4508972,236.7909698,,74697,1134.808216,0.530404456,0.986294316,1.371929893,1.788289889,0.829037201,0.755430825,75735,MAMRA
418.5031738,233.4475861,,73378.5,1125.050857,0.533434913,0.986018356,1.372668336,1.792707223,0.829964934,0.757002259,74419,MAMRA
404.9291382,227.3071899,,68665,1274.004175,0.533196739,0.944458963,1.881032996,1.781418081,0.827578137,0.710928198,72703,MAMRA
410.6337891,224.1676941,,69205.5,1363.075243,0.522566258,0.946587699,2.136432544,1.831815199,0.837846041,0.718734422,73110.5,MAMRA
411.6632996,227.4603119,,69386.5,1425.844794,0.521315693,0.924395329,2.331630154,1.809824739,0.833486587,0.700025222,75061.5,MAMRA
408.8067322,223.8299103,,68719.5,1358.388951,0.523545018,0.92631359,2.136773189,1.826416906,0.836792519,0.67409729,74186,MAMRA
405.0058594,229.3796997,,69454,1454.915861,0.539119162,0.925843475,2.425317667,1.765656943,0.824156978,0.701697313,75017,MAMRA
411.865448,234.4481354,,71839,1490.087434,0.53921216,0.938611792,2.459537012,1.756744396,0.822175025,0.701005074,76537.5,MAMRA
425.208252,230.493927,,70533.5,1404.045805,0.496709178,0.935780243,2.224115074,1.844769871,0.840331379,0.685004079,75374,MAMRA
420.8212585,224.9519806,,69768,1342.974737,0.501615618,0.946218476,2.057167,1.870715952,0.84513388,0.7316889,73733.5,MAMRA
372.1202087,,99.23714447,26546,1146.867092,0.244085902,0.825088971,3.942913309,,,0.634510123,32173.5,MAMRA
375.4606018,,106.5442505,27738,1246.950352,0.250528143,0.813359528,4.460805795,,,0.615306122,34103,MAMRA
373.5822754,,103.2116852,26655,1252.26406,0.243173519,0.814452677,4.681696782,,,0.628640834,32727.5,MAMRA
367.9319153,,107.0216751,26923.5,1275.536139,0.253225078,0.788239427,4.808882378,,,0.56944797,34156.5,MAMRA
391.8165283,,100.2189865,29463.5,1026.13917,0.244359344,0.89767534,2.843926263,,,0.684115817,32822,MAMRA
390.1568909,,109.4071503,31252,1177.151363,0.26140228,0.841057107,3.528392902,,,0.666552916,37158,MAMRA
389.0263977,,105.5920563,30885,1105.89653,0.259836155,0.891921161,3.151167732,,,0.691125134,34627.5,MAMRA
395.637146,,110.7042618,32582,1177.151363,0.265029207,0.857409771,3.384363609,,,0.693765437,38000.5,MAMRA
,222.8657227,104.771904,17731.5,853.9137746,,0.881396794,3.272447577,,,0.645532984,20117.5,MAMRA
,226.478302,105.3041458,18597,883.4701231,,0.876968782,3.339880894,,,0.694410216,21206,MAMRA
,237.4993744,104.7968979,19035.5,900.1980447,,0.877839009,3.387676861,,,0.661345239,21684.5,MAMRA
,236.1669769,105.5228806,18924,882.2985506,,0.870629371,3.273469721,,,0.688145455,21736,MAMRA
,229.1840057,112.8109207,19927,731.7300081,,0.932737315,2.138207983,,,0.691957775,21364,MAMRA
,227.0429535,113.6241074,19513.5,744.4579312,,0.92378157,2.260139708,,,0.694925214,21123.5,MAMRA
,225.3361816,112.2730713,19444,799.8721449,,0.901771635,2.618458346,,,0.680812325,21562,MAMRA
,222.5115509,113.5309601,19485.5,734.6589417,,0.937388753,2.204195541,,,0.711929119,20787,MAMRA
210.8766174,,104.420372,15519.5,602.943213,0.444355941,0.886777898,1.864082943,,,0.64342869,17501,MAMRA
209.8037567,,100.4424973,15015,555.7300097,0.434319106,0.912377712,1.636788249,,,0.663793103,16457,MAMRA
202.963974,,100.0242538,14783,559.2447275,0.456914331,0.90460164,1.683570687,,,0.649231445,16342,MAMRA
210.972641,,102.8513184,15625.5,583.9726495,0.446983779,0.885422864,1.736765675,,,0.644616337,17647.5,MAMRA
,152.7749939,92.29103851,10698.5,435.6051183,,0.937806802,1.411410009,,,0.718405855,11408,MAMRA
,153.7586365,92.36000061,10535,435.1614684,,0.939911674,1.43039658,,,0.726551724,11208.5,MAMRA
,157.3853302,96.08908081,11345,449.1614673,,0.93640378,1.415111367,,,0.725151806,12115.5,MAMRA
343.5399475,,105.0763397,26839.5,804.1147852,0.289554321,0.965588574,1.917131089,,,0.665315684,27796,MAMRA
350.011322,,103.6854477,27043,808.0142804,0.281061138,0.97266482,1.921203373,,,0.670111012,27803,MAMRA
339.4784241,,106.6318283,26586,799.8721443,0.293723547,0.969743393,1.915041902,,,0.664616769,27415.5,MAMRA
343.9906006,,105.4931183,27019,809.3279878,0.290727583,0.96890913,1.929167705,,,0.6583577,27886,MAMRA
356.3231506,,103.7468948,26189,816.2152905,0.262627957,0.940848916,2.024327025,,,0.673724017,27835.5,MAMRA
353.8343811,,104.2856216,26240,819.8721449,0.266854106,0.937527913,2.038536859,,,0.67307939,27988.5,MAMRA
357.4649963,,105.3183441,27049,830.7005724,0.269522043,0.940229765,2.030149131,,,0.675988404,28768.5,MAMRA
353.3515015,,104.6876755,26463,820.2152901,0.26985801,0.936610745,2.023050766,,,0.674887149,28254,MAMRA
331.7161865,172.401001,,44053,861.8965293,0.509744184,0.987702207,1.341914701,1.924096639,0.85433397,0.778486605,44601.5,MAMRA
326.2458496,173.216156,,43411.5,933.7960237,0.519307889,0.983039141,1.598414403,1.883460857,0.847410981,0.778737488,44160.5,MAMRA
333.1531982,172.4450989,,44313.5,867.5117539,0.508344581,0.988456648,1.351465048,1.931937761,0.855613635,0.776204239,44831,MAMRA
336.8123474,175.8124847,,45697.5,878.8254626,0.51289274,0.988470815,1.344940146,1.91574761,0.852951954,0.78182207,46230.5,MAMRA
336.3668823,175.0346222,,45044.5,879.3696181,0.506903663,0.985764307,1.366127643,1.921716276,0.853942011,0.782362136,45695,MAMRA
330.5258179,170.9653625,,43133.5,870.1980453,0.502705968,0.984367333,1.397049014,1.933291124,0.855832737,0.774306179,43818.5,MAMRA
334.8355713,172.0453949,,43866.5,865.0264716,0.498172701,0.986506696,1.357425325,1.946204788,0.857897692,0.785026575,44466.5,MAMRA
334.709137,174.6411438,,44789.5,901.8548988,0.509039164,0.983887266,1.44506459,1.916553738,0.853086279,0.782691131,45523,MAMRA
341.638031,175.9485626,,47361,1254.749341,0.516652532,0.946339904,2.645350515,1.941692651,0.857181425,0.739784442,50046.5,MAMRA
341.1542358,174.8997498,,46709.5,1209.619399,0.510991647,0.946974151,2.492771114,1.950570177,0.858585375,0.73029237,49325,MAMRA
341.8103333,175.1203766,,46798.5,1166.648836,0.510001762,0.949355918,2.31440046,1.951859286,0.858787463,0.73241674,49295,MAMRA
346.5944519,177.4863129,,48539,1272.690466,0.514467246,0.944954396,2.65549136,1.952795381,0.85893393,0.721597835,51366.5,MAMRA
292.4307251,151.9649658,,34558,916.0386643,0.514532387,0.947911238,1.932275936,1.924329884,0.854372289,0.694409838,36457,MAMRA
296.701416,154.5389099,,35704,1042.322935,0.516401808,0.936314168,2.421463073,1.919913996,0.85364415,0.684115731,38132.5,MAMRA
299.244812,154.4637451,,35751,922.0975401,0.508329195,0.950811824,1.892586199,1.937314234,0.856481017,0.733173373,37600.5,MAMRA
292.7868347,153.2498779,,34909.5,982.8254619,0.518502265,0.943831617,2.201908691,1.910519203,0.852076097,0.717741272,36987,MAMRA
340.9427185,,118.3899612,29782.5,1521.785918,0.326218382,0.820601485,6.187797714,,,0.632862303,36293.5,MAMRA
328.204834,,118.5688324,28215.5,1480.531086,0.33350928,0.823161303,6.182120222,,,0.644601572,34277,MAMRA
336.1239929,,124.9126587,30256.5,1250.991982,0.340980685,0.827177538,4.116048654,,,0.608354278,36578,MAMRA
349.4904175,,116.6882782,30646.5,1606.898618,0.31946292,0.821203676,6.704805865,,,0.643496063,37319,MAMRA
332.4623413,,122.3321991,29539.5,1095.93816,0.340273666,0.887285234,3.235631793,,,0.667137179,33292,MAMRA
336.7044067,,117.4877777,28801,1087.009227,0.32345963,0.875583322,3.264743228,,,0.68642452,32893.5,MAMRA
340.6083069,,116.6825638,29556.5,1276.163555,0.324378942,0.865249784,4.384800178,,,0.644072783,34159.5,MAMRA
321.7033997,,116.3072205,27414,1080.724957,0.337264963,0.867435569,3.390377747,,,0.657978111,31603.5,MAMRA
,192.1457367,181.8451996,26724.5,662.3990548,,0.975952233,1.306531713,,,0.76029872,27383,MAMRA
,196.2594299,181.4137115,27244.5,648.2569209,,0.977030662,1.22745511,,,0.758815174,27885,MAMRA
,196.3345337,181.0529785,27325.5,660.2569201,,0.980269412,1.26954454,,,0.769082466,27875.5,MAMRA
,198.1826019,179.3300171,27385,637.1858523,,0.983409344,1.179803389,,,0.770843889,27847,MAMRA
,134.2321472,78.64814758,7940.5,375.9482644,,0.936158925,1.416440886,,,0.699480268,8482,MAMRA
,137.166687,83.10598755,8328.5,383.1198379,,0.940701418,1.40246692,,,0.704015216,8853.5,MAMRA
,137.1117401,82.35199738,8242,380.5340515,,0.940277223,1.398120411,,,0.702104097,8765.5,MAMRA
,137.9891968,80.93843842,8369,385.3624777,,0.933571309,1.412067376,,,0.694407567,8964.5,MAMRA
428.4130859,,127.550766,41471,982.0142798,0.287692918,0.980587345,1.85046653,,,0.762376602,42292,MAMRA
418.1598206,,125.1964111,39940.5,966.7422014,0.290829874,0.975991496,1.862078533,,,0.764265212,40923,MAMRA
419.4358215,,124.9029007,40262,979.4701239,0.291389855,0.979765656,1.896169596,,,0.764710351,41093.5,MAMRA
420.8632813,,126.009613,40408.5,969.5706295,0.290469659,0.978425889,1.851297903,,,0.755864198,41299.5,MAMRA
407.2679749,,123.7745285,38109.5,1145.109734,0.292538377,0.957813914,2.738111301,,,0.740623057,39788,MAMRA
368.355835,,112.4277878,31933,912.1564163,0.299650311,0.955720165,2.073428433,,,0.745714819,33412.5,MAMRA
379.2747192,,114.1072845,32176,914.4995615,0.284796325,0.967655594,2.068355026,,,0.747653128,33251.5,MAMRA
378.2588806,,114.3818893,32060,913.8132703,0.285295795,0.967556964,2.072724301,,,0.736300583,33135,MAMRA
396.8768616,185.8157043,,56122,1410.915862,0.453661264,0.918729998,2.822664286,2.135862859,0.883625248,0.706817294,61086.5,MAMRA
387.0879211,180.4182587,,53525.5,1382.246815,0.454832628,0.906259524,2.840537971,2.145503033,0.884736701,0.684775795,59062,MAMRA
385.9710083,185.5988159,,55569,1593.685414,0.474934076,0.907960524,3.637162881,2.079598441,0.876796256,0.698313562,61202,MAMRA
394.6738281,186.7272339,,55473.5,1392.18794,0.453439166,0.913738151,2.780355331,2.113638273,0.880999148,0.711198718,60710.5,MAMRA
412.4262085,174.6795349,,54316,1732.999123,0.406579415,0.907876813,4.400064491,2.361044805,0.905876792,0.719989396,59827.5,MAMRA
386.0371094,170.2897339,,51180.5,1684.898617,0.437276897,0.895923047,4.414008441,2.266942936,0.8974468,0.730190321,57126,MAMRA
398.6034241,164.8636475,,49610.5,1451.418389,0.397559076,0.907321043,3.379105677,2.417776327,0.910457249,0.742494313,54678,MAMRA
385.5923767,166.0702209,,49214.5,1409.560524,0.421450252,0.895721098,3.212658149,2.321863453,0.902500623,0.723380957,54944,MAMRA
368.5302429,,93.65399933,25260.5,1461.903669,0.236813139,0.812744325,6.732644849,,,0.578824958,31080.5,MAMRA
364.9347229,,93.17706299,25032.5,1440.531086,0.239322741,0.814223914,6.596767535,,,0.594313865,30744,MAMRA
355.4187012,,100.2312546,26367,1307.920915,0.265760411,0.864732794,5.162884218,,,0.585933333,30491.5,MAMRA
,158.1513062,105.2556458,11961.5,927.5950131,,0.796318487,5.724285705,,,0.553773148,15021,MAMRA
,152.7334747,110.5621414,12860,1050.26406,,0.79439108,6.825683957,,,0.576164875,16188.5,MAMRA
,151.0839081,118.8429794,14363,831.9554045,,0.853796998,3.834820763,,,0.624233995,16822.5,MAMRA
,165.9202881,117.689827,14803.5,826.34018,,0.839819595,3.670654165,,,0.638439643,17627,MAMRA
352.7923584,171.212326,,45282,904.2985502,0.463230749,0.985816452,1.437104022,2.060554672,0.874344253,0.77471343,45933.5,MAMRA
354.8680115,171.2702332,,45496,903.6122587,0.459991311,0.984729933,1.428174087,2.071977161,0.875823903,0.771759597,46201.5,MAMRA
357.3460693,177.0230865,,47281,923.6122583,0.471431669,0.985451969,1.435763337,2.01864105,0.8686748,0.772161615,47979,MAMRA
356.289856,176.9164124,,46781.5,919.7127637,0.469220898,0.985921875,1.438866231,2.013888091,0.868007022,0.775388262,47449.5,MAMRA
410.0601196,200.2908173,,62256.5,1051.251868,0.471411043,0.987884798,1.41259933,2.047323613,0.872596046,0.770558457,63020,MAMRA
406.2210693,194.7046356,,60374,1041.352372,0.465838286,0.987204958,1.429340195,2.086345135,0.877647264,0.77414474,61156.5,MAMRA
409.7941895,197.3445282,,61898.5,1049.595013,0.46930875,0.987216906,1.416294368,2.07654194,0.876407711,0.769996766,62700,MAMRA
405.7000427,195.1634064,,60290.5,1039.109733,0.466389643,0.98688852,1.425161482,2.078771068,0.876691266,0.76910958,61091.5,MAMRA
,146.4755402,82.26680756,9131,409.0193328,,0.957077721,1.458006516,,,0.661666667,9540.5,MAMRA
,123.4414291,68.53140259,6574.5,348.4924203,,0.944612069,1.469988982,,,0.658503606,6960,MAMRA
,154.4324341,86.85174561,10135.5,443.6051192,,0.943407642,1.545034056,,,0.657167866,10743.5,MAMRA
,151.6480255,83.24116516,9724.5,420.5756809,,0.957559943,1.447475324,,,0.667433082,10155.5,MAMRA
